pid,being_followed,content,reply
5984972,4,"想问问今晚去了zx 财会的同学们，“财会要改革”的消息属实吗 老师有说考核方式有变化吗
dz 刚刚抢到zx老师的财会 所以今晚没有去上课

tag：财会 财务会计 zx and 国发",2
5984971,4,好想tiaoxi男人尤其是害羞小🐶啊啊啊啊啊,5
5984952,4,"真的好难过，明明知道qny是不爱自己的，但还是很难过
想知道为什么不爱我还和我在一起，可是我明明是知道答案的",6
5984944,4,给给 无聊 呜呜,6
5984923,4,21花园 化院hyw，退学了？,2
5984907,4,我讨厌一个人待着，但是真让我和另一个人待着我又觉得孤独,26
5984904,4,"日本片描写一个贫穷的少年从卖纳豆、卖晚报，到擦皮鞋，进工厂，当上模范职工，受到提拔，最后成为一个大财主的故事。——虽然字幕上没有说明，但解说员却补上一句：""诚然，勤劳乃成功之母也！""
这话引起了杂工们一阵""热烈的""掌声。但不知在渔工还是船员中间，有人大声嚷道：""胡扯蛋！照这么说，我也该当上公司经理了。""这话引得大家哄堂大笑。后来，解说员对他们说：""这是公司命令要在这种地方反复着力解说的。""",4
5984896,4,求问（2）思路 #概率论,6
5984889,4,"元宵限定摆摊卖花，
无论你是想在节日送自己一束漂亮的鲜花，还是想给重要的人一个惊喜，
欢迎来极客实验室元宵灯会买花，
九点二十至九点四十支持送货上门。",5
5984885,4,这个季节涂唇膏的男的会是直男吗？,7
5984870,4,白带发黄偏绿是宫颈炎吗🥲，之前没怎么注意，现在发现是标准的异常黄绿色，没有臭味但酸奶味明显，要查个白带+tct吗🥲,3
5984862,4,"家境一般的家庭，毕业孩子没外出工作，在家花家里钱，可以说啃老
家里特别有钱的区域性富豪家庭，孩子毕业用父母钱找商机….是帮父母花，她们花不完的钱，不是啃老，是分担….有孝心",5
5984780,4,"zdd 计量经济学 数学不太好的文科生可以选吗
nsd 经双",4
5984727,4,啊啊啊啊啊,3
5984714,4,北京普通高中和地级市一中 哪个上清北容易呢,14
5984706,4,overleaf已部分恢复。主页仍然是挂的，我从浏览记录里找到了具体project的url.,1
5984704,4,在ppt上打字做笔记 有什么推荐的软件嘛,8
5984697,4,坐在二教102要冻麻了，为啥这个教室这么冷,6
5984684,4,"emmmm……
我很少用人满为患形容一个地方",4
5984672,4,有同学一起去北京坊吗，想去看看花灯什么的,16
5984636,4,"5897780
5899874
5899879
5931896
5941664
青研你好，请问【5923373】去哪里了？",7
5984626,4,北京坊，我来了！,2
5984613,4,求推荐现在赏花灯的好去处，最好不要太远,1
5984606,4,受不了了，做个操统lab把电脑弄坏了，我是什么史诗级dinner，给自己气乐了,8
5984595,4,想蹦迪,5
5984593,4,中微wm老师讲课好像有点紧张hh，其实老师内容讲得还不错，但是老是下意识说“对吧”,13
5984570,4,如果再有一次选专业的机会，大伙会选什么专业呢🤔,8
5984566,4,我像阴沟里的老鼠,4
5984562,4,请问每周阅读+写感想、两次小测、三次pre、期末考试  任务量大吗,2
5984550,4,汤圆就是元宵,5
5984544,4,nvpy用我的手机号能在blued上查到账号吗？,3
5984534,4,蹲今晚ktv,6
5984513,4,贵校有没有能让dz鼠鼠看看天文望远镜，想尝试一下qwq,3
5984509,4,求问万🕳️，医学部哪里还可以吃到汤圆,4
5984506,4,话说港新授课型（1—2年）的硕士国内认可度如何？dz理工科3.3，保研没好接收想出国，中介推荐了这个，但是感觉有点不靠谱。,1
5984484,4,本系培养方案里面某个部分，比如这个部分要求修6学分，但是我修了7学分，多出来这1学分可以算在培养方案最后面的自主选修课里面吗,5
5984469,4,医学部体育馆门口元宵节活动 盖章换挂件奖品那个摊位的短发小姐姐好漂亮，想问问她有没有npy,6
5984443,4,为什么国防七子的学生都那么清澈愚蠢自信,7
5984436,4,求问学长学姐们，fy xdf债法是期中期末考试是开卷吗,5
5984400,4,不想做冷场王子了！请各位uu分享，和新认识的朋友聊天的时候，通常会聊什么话题？,4
5984388,4,戒色中，感觉自己忍不住要打一发怎么办，怎样让自己不再想到那些东西,9
5984386,4,晚上蹦迪找个搭子一起,5
5984377,4,有人想去盒马吗,4
5984372,4,"学一的卤味取消了吧，今天随便要了一点儿，让每样五块的，最后刷了四十，也没多少，可能确实很贵，少了没法称
来自一位常年和老爹在家自己卤肉的少年的测评
猪耳朵:⭐猪耳朵卤的时候应该先炖熟再卤二十五到四十分钟，但学校的很明显是跟着其他卤味一锅下的，吃起来和白水煮猪耳朵没区别，没有味道，刀功如史，这么大一块儿我不如抱着猪啃
羊头肉:羊头肉你得放大料啊！！！！惹不得放料，就寄希望于最后的扮料，而且肉很碎，都是一些比较恶心的部位，口感像砂子，羊腥味很重而鲜味没有，半凉不凉的，0颗⭐
牛肚:0⭐史，煮得过烂，而且不入味，目测是家威9块一斤的冻货直接下水煮的，我家用来喂狗都不吃的东西，卤的时间短了，卤水很糟糕。吃吐🤮了
猪肝:⭐⭐，猪肝很难做得难吃，这个猪肝就是简单的煮熟了加料，苦味涩味都有，不好吃，能吃
鸡爪:⭐，一看就是和猪耳朵一锅下的，只有表皮有味道
鸡翅:0⭐，小拇指大小，全是毛
大虾:⭐，个头大，用的冻的海白虾，但块七八块一只，还是凉的，肉也糟了，玩儿我呢
五十多块，想丢掉",8
5984363,4,"礼貌求问，24届金融硕（包括会计硕）去总行的多吗，总行能算这些项目的就业平均水平吗


tag gsm jy 金融硕 mfin pevc ib 汇丰 mpacc 总行",4
5984342,4,想找fwb了怎么办，nvpy不在身边,7
5984272,4,俞妹妹🥺,4
5984268,4,嫁给有心眼子的人比嫁给看似实在的人要好得多,2
5984259,4,5983801 s完不能立马尿尿？？为什么我有时候s完都巨想尿尿啊,7
5984258,4,就宿舍条件而言，校本部，万柳，中关新园，畅春畅新，昌平校区和深圳校区，哪个是最好的？,3
5984246,4,"最近流感盛行，突然想着一个很好的异性朋友得病了，我就能去照顾她。
感觉这想法好病态，我竟然希望通过这种方式加深我们的关系（别骂了，人总有点黑暗的想法",5
5984241,4,"兄弟姐妹们有没有游戏手柄推荐呀
声音大小无所谓，dz在外面租房不用担心吵到室友这种问题
预算500元以内吧",4
5984238,4,希望树洞能增加投票功能,3
5984978,3,医学生猜猜我的症状,4
5984975,3,压力太大了，适合tla吗….,3
5984974,3,元宵节一个人在宿舍实在无聊已经冲四次了😭,4
5984962,3,"springer的书一本那么贵，那么绝大多数的钱是给了作者还是出版社呢
如果说是出版社，按道德来说，他们应该得到这些钱吗",4
5984960,3,想问问大家教育学院保研会不会对科研经历很看重呀,1
5984941,3,南门对面便利蜂旁边理发店男生烫头大概多少钱呀啊啊啊啊啊啊,3
5984925,3,"每逢佳节必emo
没朋友没生活",2
5984918,3,天坑专业的最后都怎么办了,7
5984917,3,#5665955 ancient poems day102,2
5984903,3,有一种很奇怪的感觉，我每天只要不跟人说话或者自言自语的时候是一种状态，这种状态是很冷静，身体也更挺拔更舒适，专注完全是自然的事情。但是只要一跟人说话，或者自言自语，就会到另一种状态，比较多愁善感，情绪波动，容易分心。,2
5984900,3,洞友们，有什么适合元宵晚上自己看的视频/节目？,2
5984899,3,想问下大家学校周边有什么能看灯的地方吗,6
5984897,3,#5924066,0
5984878,3,想预约心理疏导请问在哪里了 精神状态不太好了，可能需要找人聊聊开解开解了,3
5984877,3,这样手动刷课真得能凭运气抢到吗,2
5984875,3,"求问复变fhl班的内容对应stein的哪几章呢 会讲完stein吗🥹
#sms fhl lzq",2
5984874,3,大家的家庭关系都是怎么样的呀？～dz有些觉得自己的家庭建立的是一种有毒有害的关系——充斥着语言暴力（贬低批评情绪化发言，各种污言秽语和人格侮辱）……而且这是沟通的基本常态，从小爸妈还会说别人家的正能量只是一种好听话根本不是真心话，所以我回避了很久。然后有一天我突然意识到原来其他人的家庭不是这样的…那一刻，好像自己过去一直生活在另一个世界。,16
5984871,3,辅导初三所有文科，通勤往返1.5h，每次2h/500r，一周三次。犹豫接不接ing🥺,18
5984867,3,不知道怎么回事最近半年总是莫名其妙情绪很down 明明没有什么事但是会莫名哭起来 伴随时不时的极端情绪  且经常头疼的难受  是因为压力太大了吗  还是得什么精神方面的疾病了  这种情况要不要去医院查一查,4
5984852,3,二教525自习的某个同学你好，你该洗澡了,3
5984838,3,凯恩斯听我说，今天我来说说你，这个资本主义是你制作滴，请你把资本主义关闭~,3
5984836,3,"求问校医院的肺炎支原体和手指血要多久才能出来呢？
医师说出来了才去取的，但是几个机子都出不来www",2
5984806,3,23级信管lzy小哥哥好帅🥹🥹,3
5984805,3,猜灯谜洞,4
5984784,3,人文社科专业研究生怎么出国啊？小白不懂，感觉都是理工科出国。,6
5984779,3,请问今晚校内有什么元宵活动吗？,3
5984778,3,聊个天给我cpugpu全都烧了,3
5984776,3,"#5978647
请问这学期现当代文学会有期末考试吗，看去年没有，之前曾经有过",3
5984761,3,南门外卖有一份太太好粥的外卖被dz拿错了😭😭已经放回去了！只打开了外卖的袋子，里面的东西都没有动过。没有外卖单，不知道是哪位同学😢,9
5984754,3,"有申请了和芝加哥大学合作的REU暑校的数院同学嘛 想问问有没有人收到回复😭谢谢！
#sms #暑校 #数院
#REU #芝加哥大学",0
5984753,3,志愿北京没有志愿者编号怎么办😭,4
5984748,3,为啥羽衣甘蓝这么难吃，像在吃盆栽,2
5984745,3,头上飞过去的是啥,2
5984725,3,经原为啥讲的都是一些常识性的知识呀，没太理解有何意义。难道没有一些反直觉的有意思一点的理论吗？,7
5984712,3,丘砖高代指导书下，买了盗版书，白送有人要吗,9
5984709,3,求问wy zjxxgg有没有npy？球球了这对我真的很重要🙏,9
5984699,3,寒假刚刚去各个地方看过灯会的人表示 北京今年的灯会真是很土。。。什刹海那个龙头近距离看很丑很粗糙 不懂为什么这么火,3
5984690,3,"#炒币 #炒股

看着自己下午本金翻到六倍，然后一秒爆仓一夜回到解放前。不过爆仓后本金还有盈利，没被全部平仓。dz今天十倍做多sushi

炒币虽暴利，不如炒股票😭。dz目前股票稳定盈利",17
5984683,3,"#地概
有没有uu这个学期选了地概的呀，dz上学期的书忘记还回去了，我可以直接把书给你（因为下周地概上课的时间我不在学校），谢谢！",2
5984647,3,求王亦洲老师的基于深度学习的内容生成原理与方法的上课地点,4
5984643,3,5984629,1
5984641,3,"发生了什么
#qj 经原 经双 nsd",8
5984638,3,现在在石景山！感觉还是有些灯的，但是没有非常盛大……不太值票的感觉,3
5984635,3,求问北京的物理高考同学，你们高三现在这个时候都在刷什么题呀？有推荐的套题或者教辅吗？要给高三小朋友做家教orz,2
5984632,3,【勤工俭学】求问贵校勤工俭学岗位到底在哪能看呀，学工部业务里都是空白？看树洞说好像有群，求一个好心人分享呜呜,2
5984620,3,阿梅丽卡是我这辈子的梦😭,2
5984617,3,手误退掉了蹲了好久抢到的课。。。。。,3
5984611,3,"5984563
好玩",2
5984599,3,蛾儿雪柳黄金缕，笑语盈盈暗香去,3
5984581,3,求问大家，咳嗽严重有什么缓解办法吗😭，比如喝点梨汤之类的，,4
5984571,3,有没有喜欢看舞剧的朋友呀～每次去看舞剧都自己一个人，想捞捞小伙伴一起～,5
5984567,3,"#5957522
#减脂塑形记录洞 第六天
早餐：鸡蛋+玉米+鲜豆浆
午餐：去皮鸡腿+素炒包菜+小块红薯
晚餐：清汤麻辣烫（鹌鹑蛋+豆制品+鸡胸肉+蔬菜）+芝麻馅汤圆*3
运动：B君决定dz今晚要不要做有氧！",12
5984561,3,想问下有没有洞友在什刹海或者石景山灯会，怎么样值得去嘛！,6
5984559,3,"觉得自己好会演戏啊，
本来也不喜欢前任，但是演到感动了自己……………太牛了",3
5984555,3,"#问卷研究   家庭教育问卷调查，5元报酬
【研究目的】考察母亲的家庭教育与个体成长的关系。
【被试要求】
1.  18~28岁的在读本科生或研究生；
2. 认真阅读问卷中的指导语和每个条目！认真填写！！信息真实有效！！
3. 每人只限填写一次，请勿重复填写！

【报酬与时长】
预计用时 15分钟，报酬为5元。审核为有效的问卷，才能获得报酬，我们将在48小时之内完成审核并发放报酬。
【填写方式】
点击下方链接填写问卷
https://www.wjx.cn/vm/OVIqcVl.aspx#",1
5984549,3,wm 中微有课程群吗？旁听求拉,2
5984543,3,"5889087
捞捞popi！
一个人过元宵节🥺",9
5984532,3,"（一个小小的问题，看书时突然想到）
名字真的会影响陌生人对自己的态度吗？",8
5984531,3,前一秒感觉自己宇宙最牛逼，后一秒感觉俺全宇宙最垃圾，然后持续emo。。,4
5984524,3,"北大毕业论文的latex模板为什么在vscode上编译不出参考文献来呢？哪位大佬解释一下
vscode完全按照这篇知乎配的https://zhuanlan.zhihu.com/p/166523064
报错是reference undefined，编译出来引用的地方就是下面图片这样",4
5984521,3,在图书馆还刷树洞，赶紧去学习！,2
5984518,3,晚上也没有吃，出了寝室出了校园，在街上游走了几十分钟。只是不想在寝室里当个窝囊废罢了。 现在看到一个地铁站就下去了，又不知道要去哪。。。,9
5984516,3,天天接到辅导班电话，烦都烦死了，专门跑出去接结果是推销辅导班电话。终于忍不住了，今天接到直接说“再给我打电话，我就举报你！” 对面赶紧挂了,3
5984515,3,哪个食堂卖元宵/汤圆呀,3
5984505,3,求问今晚哪里有花灯呀,0
5984502,3,哪个食堂有汤圆好吃吗 有没有芝麻馅的,7
5984485,3,博雅塔亮了吗,2
5984479,3,,2
5984468,3,"和crush会有一门一起上的课
会坐在一起，但是洞主之前比较内向，不知道该聊些什么
求洞友给些建议（）",8
5984459,3,燕园校区经管学部，本科高年级，男，不想谈恋爱，找个圈子外的情感搭子，不介入彼此生活，就吃吃饭散散步。要求女生，善意，好相处就行。,7
5984457,3,看上去挺瘦的女生 53kg 大概多高呢,6
5984454,3,表白23 sky cqy，很厉害很有个性的xjj！,3
5984437,3,"双学位辅修报名短信通知了吗？
转专业 辅双 学生会 校会 讲座",3
5984426,3,抽象小故事：本人在北京地铁上，当时我旁边有个空座，我可能当时占了那个位置的一点放书包，刚才上来了一对（估计是）夫妻，男的说让我往旁边给让让，这本来正常，但他就开始拽我，我一看人家两个人我也没几站了，就站起来给人家让座，结果那个男的又拽着我说让我坐…拽着就是指肢体接触用胳膊拦着那种，我有点慌，就到了远几步的位置，然后又听那两个人说给我吓跑了😂😂不是这真的是正常的吗，i人那一刻真的很恐慌啊,7
5984406,3,"感觉自己好胆小，不敢在人多时聊天。
看到微信的消息，就胆战心惊
有人要我分享经验，直接秒拒
好失败呀",1
5984392,3,想买一个备用手机，预算2k以内，不要华为，目前用的苹果，有什么推荐的吗,4
5984384,3,捞人一起吃晚饭,3
5984383,3,图书馆门口的石狮子呢？刚发现不见了,2
5984379,3,"呼吸道感染 校医院急诊只开了双黄连和白加黑这种感冒药，丁香医生图文咨询了一个三甲呼吸科的医生，开的是莫西沙星
应该相信哪个www",4
5984370,3,用校园网登知网看论文免费吗,3
5984365,3,想吃川菜，南门老蜀人怎么样？,3
5984357,3,去基督教堂需要注意什么？有去过的uu吗？或者有无想去的可以一起约着去吗？dz想去但一个人不太敢去,12
5984338,3,医学部蜜雪为啥线下点单表上有新鲜冰淇淋（but线上点单太多了，基本没法线下和店员说），但是线上没有新鲜冰淇淋，同时线下看到了装冰激凌的蛋筒😭😭,3
5984325,3,随缘出一个aoc显示器，23.8寸2k，原价1100购入，现388出，有内置电源和双hdmi口、dp口、音频口，平时都有擦拭保养，无外伤暗病，型号为q2490pxq，燕园校内可以送货上门，如果有朋友想要的话dz就留号啦,8
5984312,3,为什么到五点半这个点，图书馆好多人都走了,2
5984286,3,今天6点学生服务总队的元宵晚会有人去吗，dz有事去不了,10
5984275,3,所以学一的标价是假的……?,5
5984265,3,化完妆被自己美到,7
5984261,3,突然有点想哭，以为上了大学是可以在家里过元宵节的，但是现在又是一个人，还不如在高中呢,2
5984255,3,"想问学长关于xx主题有没有综述或者博士论文推荐（主题可能跟他的研究方向相关），直接问好像有点太伸手党
但我谷歌学术查了好久找到的文章总感觉看不明白、有点混乱、不知道质量可不可以信赖、看着没啥收获，自己总容易找低质量文献浪费很多时间
要怎么去问才不那么伸手党呢",1
5984988,2,"终于发现自己为啥感觉英文教材为啥难读了
看中文教材时可以做到扫一眼就知道下面这段重不重要，看英文时还是得把整个句子大致过一遍，导致看英文教材时注意力几乎一直是集中的，蛮累的",2
5984987,2,麻烦问一下，sky挑战班是不是要求有科研经历呀？然后对于成绩方面大概要求是前百分之多少呀？虽然dz很菜但还是想下学期秋季进挑战班…非常感谢！谢谢！,1
5984983,2,还是日本姑娘好看,4
5984979,2,,1
5984970,2,存款终于两万啦！都是我自己挣的呢,2
5984969,2,黄＊同学/老师，真的很抱歉！你的快递（编号1-3-7722）被我误拿了，拆开包装才发现。我给您放回去吧，包装破损但没有完全拆毁。如果有什么损失请找我赔偿，我的微信号是修勾投降（拼音小写）叁零幺捌贰（阿拉伯数字）。真的非常对不起😭,1
5984957,2,编译lab有用内存形式在写的吗，dz这里一直是报slice的kind和item不匹配的错de不出来555,2
5984950,2,求问，明晚还有哪里可以赏灯吗，有灯会的那种，热闹一点的,2
5984947,2,今天过节，你在哪里，在干嘛呢？除了知道你的结局和我一样是冰冷的坟墓，我将对你的人生再一无所知，这不能不说是不胜悲哀的,2
5984946,2,,1
5984938,2,hyf的国际象棋可以旁听吗,0
5984937,2,"sky毕设进度统计洞
好焦虑......
#sky #毕设",2
5984927,2,"中国的生态问题与生态建设 城环 lhy  还是 国际人权法 fy

#选课 #补退选",1
5984924,2,马院的就业怎么样，高校思政岗接近饱和了吗，现在的低年级本科生会不会读完博士没教职坑位了啊wwww,0
5984921,2,"出两张天鹅湖，周六的，二楼前排靠边，100r,可单出和小刀",2
5984919,2,在28楼门口一直听到尖锐的高频嗡嗡声，搞得dz还以为是自己耳鸣了😲这是什么呀,3
5984916,2,"5983501
警惕gsm就业唱衰论！
fy jy",1
5984912,2,问个，♂小冰素颜(在床上测的)最高8.2什么水平,1
5984909,2,"请问一个题
那个hint暂时不重要，关键是我感觉这个结论本身就是错的，或者是我没看懂题，总之想了好久了想不明白他什么意思
比如说E=R^2 E_1是x轴，U_1是x轴上的(0,1)，E_2是y轴，E_2'是y=x直线
那此时O∩O'得到的不应该是一个平行四边形吗，怎么会满足前面的形式",0
